sec_id,call_or_put,ratio,lastPrice,dte
108321.0,C,1.1471,16.35,3
108321.0,C,0.92507,41.7,3
108321.0,C,0.97132,36.9,3
108321.0,C,1.0176,32.05,3
108321.0,C,1.0268,31.15,3
108321.0,C,1.0361,29.25,3
108321.0,C,1.0453,28.85,3
108321.0,C,1.0546,27.65,3
108321.0,C,1.0638,27.2,3
108321.0,C,1.0731,26.65,3
108321.0,C,1.0823,23.0,3
108321.0,C,1.0916,24.25,3
108321.0,C,1.1008,24.05,3
108321.0,C,1.1101,22.85,3
108321.0,C,1.1193,21.85,3
108321.0,C,1.1286,21.05,3
108321.0,C,1.1378,20.05,3
108321.0,C,1.1563,18.1,3
108321.0,C,1.1656,14.85,3
108321.0,C,1.1748,16.1,3
108321.0,C,1.1841,15.05,3
108321.0,C,1.1933,14.3,3
108321.0,C,1.2026,13.3,3
108321.0,C,1.2118,12.35,3
108321.0,C,1.2211,11.5,3
108321.0,C,1.2303,10.45,3
108321.0,C,1.2396,9.65,3
108321.0,C,1.2488,8.95,3
108321.0,C,1.2581,8.2,3
108321.0,C,1.2673,7.45,3
108321.0,C,1.2766,6.7,3
108321.0,C,1.2858,6.0,3
108321.0,C,1.2951,5.35,3
108321.0,C,1.3043,4.7,3
108321.0,C,1.3136,4.15,3
108321.0,C,1.3228,3.6,3
108321.0,C,1.3321,3.15,3
108321.0,C,1.3414,2.7,3
108321.0,C,1.3506,2.31,3
108321.0,C,1.3599,1.95,3
108321.0,C,1.3691,1.64,3
108321.0,C,1.3784,1.37,3
108321.0,C,1.3876,1.13,3
108321.0,C,1.4107,0.68,3
108321.0,C,1.4339,0.4,3
108321.0,C,1.457,0.23,3
108321.0,C,1.4801,0.13,3
108321.0,C,1.5032,0.08,3
108321.0,C,1.5264,0.05,3
108321.0,C,1.5495,0.03,3
108321.0,C,1.5726,0.02,3
108321.0,C,1.5957,0.01,3
108321.0,C,1.6189,0.01,3
108321.0,C,1.642,0.01,3
108321.0,C,1.6651,0.01,3
108321.0,C,1.6883,0.01,3
108321.0,C,1.7114,0.0,3
108321.0,C,1.7345,0.0,3
108321.0,C,1.7576,0.0,3
108321.0,C,1.7808,0.0,3
108321.0,C,1.8039,0.0,3
108321.0,C,1.827,0.0,3
108321.0,C,1.8501,0.0,3
108321.0,C,1.8964,0.0,3
108321.0,C,1.9426,0.0,3
108321.0,C,1.9889,0.0,3
108321.0,C,2.0352,0.0,3
108321.0,C,2.0814,0.0,3
108321.0,C,2.1277,0.0,3
108321.0,C,2.1739,0.0,3
108321.0,C,2.2202,0.0,3
108321.0,C,2.3127,0.0,3
108321.0,C,2.4052,0.0,3
108321.0,C,0.6013,78.15,3
108321.0,C,0.64755,73.15,3
108321.0,C,0.6938,68.15,3
108321.0,C,0.74006,61.15,3
108321.0,C,0.78631,57.05,3
108321.0,C,0.83256,52.15,3
108321.0,C,0.87882,46.3,3
108321.0,C,0.92507,41.8,10
108321.0,C,0.93432,39.1,10
108321.0,C,0.94357,38.2,10
108321.0,C,0.95282,37.15,10
108321.0,C,0.96207,36.25,10
108321.0,C,0.97132,36.45,10
108321.0,C,0.98057,34.4,10
108321.0,C,0.98982,33.4,10
